Name,Alexander (vector)
3_1,{0; 2; 1; -1; 1}
4_1,{0; 2; 1; -3; 1}
5_1,{0; 4; 1; -1; 1; -1; 1}
5_2,{0; 2; 2; -3; 2}
6_1,{0; 2; 2; -5; 2}
6_2,{0; 4; 1; -3; 3; -3; 1}
6_3,{0; 4; 1; -3; 5; -3; 1}
7_1,{0; 6; 1; -1; 1; -1; 1; -1; 1}
7_2,{0; 2; 3; -5; 3}
7_3,{0; 4; 2; -3; 3; -3; 2}
7_4,{0; 2; 4; -7; 4}
7_5,{0; 4; 2; -4; 5; -4; 2}
7_6,{0; 4; 1; -5; 7; -5; 1}
7_7,{0; 4; 1; -5; 9; -5; 1}
8_1,{0; 2; 3; -7; 3}
8_2,{0; 6; 1; -3; 3; -3; 3; -3; 1}
8_3,{0; 2; 4; -9; 4}
8_4,{0; 4; 2; -5; 5; -5; 2}
8_5,{0; 6; 1; -3; 4; -5; 4; -3; 1}
8_6,{0; 4; 2; -6; 7; -6; 2}
8_7,{0; 6; 1; -3; 5; -5; 5; -3; 1}
8_8,{0; 4; 2; -6; 9; -6; 2}
8_9,{0; 6; 1; -3; 5; -7; 5; -3; 1}
8_10,{0; 6; 1; -3; 6; -7; 6; -3; 1}
8_11,{0; 4; 2; -7; 9; -7; 2}
8_12,{0; 4; 1; -7; 13; -7; 1}
8_13,{0; 4; 2; -7; 11; -7; 2}
8_14,{0; 4; 2; -8; 11; -8; 2}
8_15,{0; 4; 3; -8; 11; -8; 3}
8_16,{0; 6; 1; -4; 8; -9; 8; -4; 1}
8_17,{0; 6; 1; -4; 8; -11; 8; -4; 1}
8_18,{0; 6; 1; -5; 10; -13; 10; -5; 1}
8_19,{0; 6; 1; -1; 0; 1; 0; -1; 1}
8_20,{0; 4; 1; -2; 3; -2; 1}
8_21,{0; 4; 1; -4; 5; -4; 1}
9_1,{0; 8; 1; -1; 1; -1; 1; -1; 1; -1; 1}
9_2,{0; 2; 4; -7; 4}
9_3,{0; 6; 2; -3; 3; -3; 3; -3; 2}
9_4,{0; 4; 3; -5; 5; -5; 3}
9_5,{0; 2; 6; -11; 6}
9_6,{0; 6; 2; -4; 5; -5; 5; -4; 2}
9_7,{0; 4; 3; -7; 9; -7; 3}
9_8,{0; 4; 2; -8; 11; -8; 2}
9_9,{0; 6; 2; -4; 6; -7; 6; -4; 2}
9_10,{0; 4; 4; -8; 9; -8; 4}
9_11,{0; 6; 1; -5; 7; -7; 7; -5; 1}
9_12,{0; 4; 2; -9; 13; -9; 2}
9_13,{0; 4; 4; -9; 11; -9; 4}
9_14,{0; 4; 2; -9; 15; -9; 2}
9_15,{0; 4; 2; -10; 15; -10; 2}
9_16,{0; 6; 2; -5; 8; -9; 8; -5; 2}
9_17,{0; 6; 1; -5; 9; -9; 9; -5; 1}
9_18,{0; 4; 4; -10; 13; -10; 4}
9_19,{0; 4; 2; -10; 17; -10; 2}
9_20,{0; 6; 1; -5; 9; -11; 9; -5; 1}
9_21,{0; 4; 2; -11; 17; -11; 2}
9_22,{0; 6; 1; -5; 10; -11; 10; -5; 1}
9_23,{0; 4; 4; -11; 15; -11; 4}
9_24,{0; 6; 1; -5; 10; -13; 10; -5; 1}
9_25,{0; 4; 3; -12; 17; -12; 3}
9_26,{0; 6; 1; -5; 11; -13; 11; -5; 1}
9_27,{0; 6; 1; -5; 11; -15; 11; -5; 1}
9_28,{0; 6; 1; -5; 12; -15; 12; -5; 1}
9_29,{0; 6; 1; -5; 12; -15; 12; -5; 1}
9_30,{0; 6; 1; -5; 12; -17; 12; -5; 1}
9_31,{0; 6; 1; -5; 13; -17; 13; -5; 1}
9_32,{0; 6; 1; -6; 14; -17; 14; -6; 1}
9_33,{0; 6; 1; -6; 14; -19; 14; -6; 1}
9_34,{0; 6; 1; -6; 16; -23; 16; -6; 1}
9_35,{0; 2; 7; -13; 7}
9_36,{0; 6; 1; -5; 8; -9; 8; -5; 1}
9_37,{0; 4; 2; -11; 19; -11; 2}
9_38,{0; 4; 5; -14; 19; -14; 5}
9_39,{0; 4; 3; -14; 21; -14; 3}
9_40,{0; 6; 1; -7; 18; -23; 18; -7; 1}
9_41,{0; 4; 3; -12; 19; -12; 3}
9_42,{0; 4; 1; -2; 1; -2; 1}
9_43,{0; 6; 1; -3; 2; -1; 2; -3; 1}
9_44,{0; 4; 1; -4; 7; -4; 1}
9_45,{0; 4; 1; -6; 9; -6; 1}
9_46,{0; 2; 2; -5; 2}
9_47,{0; 6; 1; -4; 6; -5; 6; -4; 1}
9_48,{0; 4; 1; -7; 11; -7; 1}
9_49,{0; 4; 3; -6; 7; -6; 3}
10_1,{0; 2; 4; -9; 4}
10_2,{0; 8; 1; -3; 3; -3; 3; -3; 3; -3; 1}
10_3,{0; 2; 6; -13; 6}
10_4,{0; 4; 3; -7; 7; -7; 3}
10_5,{0; 8; 1; -3; 5; -5; 5; -5; 5; -3; 1}
10_6,{0; 6; 2; -6; 7; -7; 7; -6; 2}
10_7,{0; 4; 3; -11; 15; -11; 3}
10_8,{0; 6; 2; -5; 5; -5; 5; -5; 2}
10_9,{0; 8; 1; -3; 5; -7; 7; -7; 5; -3; 1}
10_10,{0; 4; 3; -11; 17; -11; 3}
10_11,{0; 4; 4; -11; 13; -11; 4}
10_12,{0; 6; 2; -6; 10; -11; 10; -6; 2}
10_13,{0; 4; 2; -13; 23; -13; 2}
10_14,{0; 6; 2; -8; 12; -13; 12; -8; 2}
10_15,{0; 6; 2; -6; 9; -9; 9; -6; 2}
10_16,{0; 4; 4; -12; 15; -12; 4}
10_17,{0; 8; 1; -3; 5; -7; 9; -7; 5; -3; 1}
10_18,{0; 4; 4; -14; 19; -14; 4}
10_19,{0; 6; 2; -7; 11; -11; 11; -7; 2}
10_20,{0; 4; 3; -9; 11; -9; 3}
10_21,{0; 6; 2; -7; 9; -9; 9; -7; 2}
10_22,{0; 6; 2; -6; 10; -13; 10; -6; 2}
10_23,{0; 6; 2; -7; 13; -15; 13; -7; 2}
10_24,{0; 4; 4; -14; 19; -14; 4}
10_25,{0; 6; 2; -8; 14; -17; 14; -8; 2}
10_26,{0; 6; 2; -7; 13; -17; 13; -7; 2}
10_27,{0; 6; 2; -8; 16; -19; 16; -8; 2}
10_28,{0; 4; 4; -13; 19; -13; 4}
10_29,{0; 6; 1; -7; 15; -17; 15; -7; 1}
10_30,{0; 4; 4; -17; 25; -17; 4}
10_31,{0; 4; 4; -14; 21; -14; 4}
10_32,{0; 6; 2; -8; 15; -19; 15; -8; 2}
10_33,{0; 4; 4; -16; 25; -16; 4}
10_34,{0; 4; 3; -9; 13; -9; 3}
10_35,{0; 4; 2; -12; 21; -12; 2}
10_36,{0; 4; 3; -13; 19; -13; 3}
10_37,{0; 4; 4; -13; 19; -13; 4}
10_38,{0; 4; 4; -15; 21; -15; 4}
10_39,{0; 6; 2; -8; 13; -15; 13; -8; 2}
10_40,{0; 6; 2; -8; 17; -21; 17; -8; 2}
10_41,{0; 6; 1; -7; 17; -21; 17; -7; 1}
10_42,{0; 6; 1; -7; 19; -27; 19; -7; 1}
10_43,{0; 6; 1; -7; 17; -23; 17; -7; 1}
10_44,{0; 6; 1; -7; 19; -25; 19; -7; 1}
10_45,{0; 6; 1; -7; 21; -31; 21; -7; 1}
10_46,{0; 8; 1; -3; 4; -5; 5; -5; 4; -3; 1}
10_47,{0; 8; 1; -3; 6; -7; 7; -7; 6; -3; 1}
10_48,{0; 8; 1; -3; 6; -9; 11; -9; 6; -3; 1}
10_49,{0; 6; 3; -8; 12; -13; 12; -8; 3}
10_50,{0; 6; 2; -7; 11; -13; 11; -7; 2}
10_51,{0; 6; 2; -7; 15; -19; 15; -7; 2}
10_52,{0; 6; 2; -7; 13; -15; 13; -7; 2}
10_53,{0; 4; 6; -18; 25; -18; 6}
10_54,{0; 6; 2; -6; 10; -11; 10; -6; 2}
10_55,{0; 4; 5; -15; 21; -15; 5}
10_56,{0; 6; 2; -8; 14; -17; 14; -8; 2}
10_57,{0; 6; 2; -8; 18; -23; 18; -8; 2}
10_58,{0; 4; 3; -16; 27; -16; 3}
10_59,{0; 6; 1; -7; 18; -23; 18; -7; 1}
10_60,{0; 6; 1; -7; 20; -29; 20; -7; 1}
10_61,{0; 6; 2; -5; 6; -7; 6; -5; 2}
10_62,{0; 8; 1; -3; 6; -8; 9; -8; 6; -3; 1}
10_63,{0; 4; 5; -14; 19; -14; 5}
10_64,{0; 8; 1; -3; 6; -10; 11; -10; 6; -3; 1}
10_65,{0; 6; 2; -7; 14; -17; 14; -7; 2}
10_66,{0; 6; 3; -9; 16; -19; 16; -9; 3}
10_67,{0; 4; 4; -16; 23; -16; 4}
10_68,{0; 4; 4; -14; 21; -14; 4}
10_69,{0; 6; 1; -7; 21; -29; 21; -7; 1}
10_70,{0; 6; 1; -7; 16; -19; 16; -7; 1}
10_71,{0; 6; 1; -7; 18; -25; 18; -7; 1}
10_72,{0; 6; 2; -9; 16; -19; 16; -9; 2}
10_73,{0; 6; 1; -7; 20; -27; 20; -7; 1}
10_74,{0; 4; 4; -16; 23; -16; 4}
10_75,{0; 6; 1; -7; 19; -27; 19; -7; 1}
10_76,{0; 6; 2; -7; 12; -15; 12; -7; 2}
10_77,{0; 6; 2; -7; 14; -17; 14; -7; 2}
10_78,{0; 6; 1; -7; 16; -21; 16; -7; 1}
10_79,{0; 8; 1; -3; 7; -12; 15; -12; 7; -3; 1}
10_80,{0; 6; 3; -9; 15; -17; 15; -9; 3}
10_81,{0; 6; 1; -8; 20; -27; 20; -8; 1}
10_82,{0; 8; 1; -4; 8; -12; 13; -12; 8; -4; 1}
10_83,{0; 6; 2; -9; 19; -23; 19; -9; 2}
10_84,{0; 6; 2; -9; 20; -25; 20; -9; 2}
10_85,{0; 8; 1; -4; 8; -10; 11; -10; 8; -4; 1}
10_86,{0; 6; 2; -9; 19; -25; 19; -9; 2}
10_87,{0; 6; 2; -9; 18; -23; 18; -9; 2}
10_88,{0; 6; 1; -8; 24; -35; 24; -8; 1}
10_89,{0; 6; 1; -8; 24; -33; 24; -8; 1}
10_90,{0; 6; 2; -8; 17; -23; 17; -8; 2}
10_91,{0; 8; 1; -4; 9; -14; 17; -14; 9; -4; 1}
10_92,{0; 6; 2; -10; 20; -25; 20; -10; 2}
