type,n_p,p_p
np,0,0
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,0
pp,1,1
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,1
np,-2,0
np,-1,0
pp,2,2
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,2
np,-3,0
np,-1,0
pp,3,3
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,3
np,-4,0
np,-1,0
pp,4,4
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,4
np,-5,0
np,-1,0
pp,5,5
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,5
np,-6,0
np,-1,0
pp,6,6
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,6
np,-7,0
np,-1,0
pp,7,7
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,7
np,-8,0
np,-1,0
pp,8,8
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,8
np,-9,0
np,-1,0
pp,9,9
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,9
np,-10,0
np,-1,0
pp,10,10
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,10
np,-11,0
np,-1,0
pp,11,11
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,11
np,-12,0
np,-1,0
pp,12,12
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,12
np,-13,0
np,-1,0
pp,13,13
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,13
np,-14,0
np,-1,0
pp,14,14
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,14
np,-15,0
np,-1,0
pp,15,15
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,15
np,-16,0
np,-1,0
pp,16,16
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,16
np,-17,0
np,-1,0
pp,17,17
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,17
np,-18,0
np,-1,0
pp,18,18
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,18
np,-19,0
np,-1,0
pp,19,19
np,-1,0
np,-1,0
np,-1,0
np,-1,0
np,-1,19
np,-20,0
np,-1,0
np,0,0
np,-1,0
np,-1,0
np,-1,0
np,-1,1
np,-2,0
np,-1,0
np,-1,0
pp,1,1
np,-1,0
np,-1,0
np,-1,0
np,-1,1
np,-2,1
